ep_elecfromgrid_0,ep_electogrid_0,elec_unserve_0,heat_unserve_0,heat_dump_0,cool_unserve_0,turbine_y_0,turbine_y_1,turbine_y_2,turbine_y_3,turbine_xp_0,turbine_xp_1,turbine_xp_2,turbine_xp_3,boiler_y_0,boiler_y_1,boiler_y_2,boiler_y_3,boiler_y_4,boiler_x_0,boiler_x_1,boiler_x_2,boiler_x_3,boiler_x_4,chiller_x_0,chiller_x_1,chiller_x_2,chiller_x_3,chiller_x_4,chiller_x_5,chiller_x_6,chiller_x_7,chiller_x_8,chiller_yp_0,chiller_yp_1,chiller_yp_2,chiller_yp_3,chiller_yp_4,chiller_yp_5,chiller_yp_6,chiller_yp_7,chiller_yp_8,temp_0
1337.7442004399418,2.482793626400698e-07,1.1157097641320184e-12,1.1153471648445979e-12,2.6658878003883565e-06,1.1142539340559962e-12,7262.586058403582,6281.046311578652,3983.54433698772,3949.2202052161806,2499.999998884264,2187.4999989334974,1374.9999987980511,1374.9999988501174,2100.324092753826,2100.324092753826,2100.324092753826,2100.324092753826,2100.324092753826,2079.3208518262877,2079.3208518262877,2079.3208518262877,2079.3208518262877,2079.3208518262877,1.03351783462139e-05,3.4639127248437333e-06,3.4639127248437333e-06,588.1428928299429,588.1428928299429,6.367520027028542e-07,7.258116664664243e-06,7.258116664664243e-06,3.553929247769529e-06,1.7594787869347857e-06,7.387316598048434e-07,7.387316598048434e-07,60.205025369018614,60.205025369018614,4.151737656244775e-07,1.3182195247746887e-06,1.3182195247746887e-06,7.781179577532066e-07,-1.417288050328736e-13
1286.2864213564549,2.48368419180792e-07,1.1157201333096885e-12,1.1153497463469611e-12,2.725792570883842e-06,1.1141951074621797e-12,7262.586058393908,6281.046311572381,3983.5443369839777,3949.2202052128796,2499.9999988809345,2187.4999989313133,1374.9999987967594,1374.9999988489683,2043.4512224407906,2043.4512224407906,2043.4512224407906,2043.4512224407906,2043.4512224407906,2023.0167102163825,2023.0167102163825,2023.0167102163825,2023.0167102163825,2023.0167102163825,1.0305359254316791e-05,3.5617883223555024e-06,3.5617883223555024e-06,608.5337410769814,608.5337410769814,6.610982779234059e-07,7.292298600326076e-06,7.292298600326076e-06,3.639916060223555e-06,1.754402332934627e-06,7.596051078547499e-07,7.596051078547499e-07,62.29232685812072,62.29232685812072,4.3104797520084337e-07,1.324427649846045e-06,1.324427649846045e-06,7.969444109700636e-07,-2.498371030654258e-13
1569.6035005256106,2.483115939250162e-07,1.1156896255779115e-12,1.115354580746113e-12,2.584536289526705e-06,1.114119309478467e-12,7262.586058375551,6281.046311564004,3983.5443369583745,3949.2202051913964,2499.999998874616,2187.4999989283956,1374.9999987879223,1374.9999988414881,1752.5192946287027,1752.5192946287027,1752.5192946287027,1752.5192946287027,1752.5192946287027,1734.994101682416,1734.994101682416,1734.994101682416,1734.994101682416,1734.994101682416,1.0266139024733135e-05,3.7065390769521348e-06,3.7065390769521348e-06,638.1236733266594,638.1236733266594,6.979191726077873e-07,7.34760083821071e-06,7.34760083821071e-06,3.7717995281214476e-06,1.7477254129412686e-06,7.904753904769151e-07,7.904753904769151e-07,65.3212891111331,65.3212891111331,4.5505586117667256e-07,1.3344716453559917e-06,1.3344716453559917e-06,8.258197450791698e-07,-1.5459545535765306e-13
2113.0226665220457,2.4749400780208057e-07,1.115518485896479e-12,1.1152906721751693e-12,2.1166940036031475e-06,1.1153186676028414e-12,7262.586058452654,6281.046311626264,3983.544336987971,3949.220205221107,2499.9999989011562,2187.499998950079,1374.9999987981378,1374.999998851833,1690.9943538660984,1690.9943538660984,1690.9943538660984,1690.9943538660984,1690.9943538660984,1674.0844103274374,1674.0844103274374,1674.0844103274374,1674.0844103274374,1674.0844103274374,2.5947952095294303e-06,2.8262770683187366e-06,2.8262770683187366e-06,956.9317750845231,956.9317750845231,9.344343883454421e-07,2.8584975362543985e-06,2.8584975362543985e-06,2.9876728017994226e-06,4.4174246097521234e-07,6.027462306432946e-07,6.027462306432946e-07,97.9559601888139,97.9559601888139,6.092680363972303e-07,5.191604697539443e-07,5.191604697539443e-07,6.541384718204518e-07,-4.114178329277731e-13
1680.4320837950224,2.4819950177630734e-07,1.1155323899082256e-12,1.1152757542724186e-12,1.774913565016435e-06,1.1152781535610867e-12,7262.586058560018,6281.046311715825,3983.54433699887,3949.2202052387115,2499.999998938114,2187.499998981271,1374.9999988019001,1374.9999988579623,1527.460566159903,1527.460566159903,1527.460566159903,1527.460566159903,1527.460566159903,1512.1859604983042,1512.1859604983042,1512.1859604983042,1512.1859604983042,1512.1859604983042,2.3181702306256616e-06,2.9043205420949482e-06,2.9043205420949482e-06,981.1611589311646,981.1611589311646,9.55267955151525e-07,2.901423263767333e-06,2.901423263767333e-06,2.9737119544618404e-06,3.9464934079226633e-07,6.193901789860308e-07,6.193901789860308e-07,100.4361919266214,100.4361919266214,6.228518969803171e-07,5.269566426033785e-07,5.269566426033785e-07,6.510818030055649e-07,-5.143363363247043e-13
2440.1172737428874,2.470664023381546e-07,1.11552942263033e-12,1.11527507154419e-12,1.8066413586775085e-06,1.115061733179128e-12,7262.586058533829,6281.0463116950905,3983.5443370101475,3949.2202052456155,2499.9999989290995,2187.4999989740495,1374.9999988057928,1374.9999988603658,1545.6713310780788,1545.6713310780788,1545.6713310780788,1545.6713310780788,1545.6713310780788,1530.2146177672978,1530.2146177672978,1530.2146177672978,1530.2146177672978,1530.2146177672978,2.9816046058103836e-06,3.109092198976548e-06,3.109092198976548e-06,1013.7410657520271,1013.7410657520271,9.605674770225252e-07,3.3608654512017573e-06,3.3608654512017573e-06,3.1475580788887683e-06,5.075935686580896e-07,6.630608251513928e-07,6.630608251513928e-07,103.77122179875391,103.77122179875391,6.263072808092643e-07,6.104005568532354e-07,6.104005568532354e-07,6.891446857711468e-07,-5.419027285387812e-13
2436.263237932179,2.469525506736089e-07,1.1155249290275694e-12,1.1152826669495752e-12,2.3400027633199057e-06,1.1152065688776252e-12,7262.58605841193,6281.046311588205,3983.544336984542,3949.220205214026,2499.999998887138,2187.4999989368243,1374.9999987969543,1374.9999988493676,1828.779617659934,1828.779617659934,1828.779617659934,1828.779617659934,1828.779617659934,1810.491821483335,1810.491821483335,1810.491821483335,1810.491821483335,1810.491821483335,2.621749853575157e-06,2.966746262537969e-06,2.966746262537969e-06,992.8510720055132,992.8510720055132,9.497684023111855e-07,3.019418299429599e-06,3.019418299429599e-06,3.0665016202929444e-06,4.463312671333322e-07,6.327034060292072e-07,6.327034060292072e-07,101.63282546888252,101.63282546888252,6.192660896012278e-07,5.483869072971316e-07,5.483869072971316e-07,6.713977125087457e-07,-7.299146580419447e-13
1988.8075332703668,2.4734991115661665e-07,1.1155215235296517e-12,1.1152918135598587e-12,2.3434028666566076e-06,1.1153196776208046e-12,7262.58605843574,6281.046311602476,3983.544337004852,3949.2202052315924,2499.999998895334,2187.4999989417943,1374.9999988039647,1374.9999988554835,2161.5459955592846,2161.5459955592846,2161.5459955592846,2161.5459955592846,2161.5459955592846,2139.9305356036916,2139.9305356036916,2139.9305356036916,2139.9305356036916,2139.9305356036916,2.7878076580968847e-06,2.814915366478784e-06,2.814915366478784e-06,939.1119077251656,939.1119077251656,9.223122788848087e-07,2.9445373111047363e-06,2.9445373111047363e-06,3.0151372609838103e-06,4.746012371017917e-07,6.003231763055629e-07,6.003231763055629e-07,96.13183618847022,96.13183618847022,6.013642028529091e-07,5.347870180498373e-07,5.347870180498373e-07,6.60151700331831e-07,-1.3764117719799442e-12
2097.76985773528,2.4710870447474053e-07,1.115517182602989e-12,1.1152846394340613e-12,2.201310136278887e-06,1.1153148547165103e-12,7262.586058457206,6281.046311618946,3983.544337022131,3949.2202052471253,2499.9999989027233,2187.4999989475305,1374.9999988099287,1374.9999988608915,2312.8045962285764,2312.8045962285764,2312.8045962285764,2312.8045962285764,2312.8045962285764,2289.6765502662915,2289.6765502662915,2289.6765502662915,2289.6765502662915,2289.6765502662915,2.9247831761116973e-06,2.817721764497143e-06,2.817721764497143e-06,928.346010333837,928.346010333837,9.210453795642763e-07,3.0063863414731137e-06,3.0063863414731137e-06,3.0188944680992615e-06,4.97920188251051e-07,6.009216830697642e-07,6.009216830697642e-07,95.02978916305013,95.02978916305013,6.005381617339703e-07,5.460200421338076e-07,5.460200421338076e-07,6.609743251905204e-07,-1.3894892359277853e-12
2118.8739610999387,2.469947719645513e-07,1.115525279599505e-12,1.1152884255270335e-12,2.285082547691638e-06,1.1152447964457299e-12,7262.5860584481525,6281.046311610717,3983.5443370167527,3949.220205241748,2499.999998899607,2187.499998944664,1374.9999988080726,1374.9999988590196,2334.2607774904377,2334.2607774904377,2334.2607774904377,2334.2607774904377,2334.2607774904377,2310.918169715533,2310.918169715533,2310.918169715533,2310.918169715533,2310.918169715533,3.5355776349148566e-06,2.872213633231601e-06,2.872213633231601e-06,892.1435010851861,892.1435010851861,9.006185675210372e-07,3.3239012866869825e-06,3.3239012866869825e-06,3.0864721722011295e-06,6.019029019160231e-07,6.125428963713608e-07,6.125428963713608e-07,91.32393295989212,91.32393295989212,5.872195124847292e-07,6.036871227550353e-07,6.036871227550353e-07,6.757701808709337e-07,-1.0372555185419388e-11
