E_Type,TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
42,2019-11-14 04:13:25.812570,20191114T140000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812657,20191114T150000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812665,20191114T150000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812669,20191114T150000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812671,20191114T150000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812788,20191114T160000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812794,20191114T160000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812798,20191114T160000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812800,20191114T160000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812872,20191114T170000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812878,20191114T170000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812881,20191114T170000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812883,20191114T170000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-11-14 04:13:25.812946,20191114T180000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
